uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
1658,24_20210310_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,24137,15/02/2021,No,NA,1,540535,6469113
1659,55_20220321_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,55578,11/01/2022,No,NA,1,892468,6902331
1660,69_20220322_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,69285,18/01/2022,Yes,FLEUVE_ET_VALLEE_DU_RHONE,1,860438,6519923
1661,02_20220412_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,2291,15/01/2022,No,NA,1,720238,6985826
1662,25_20220504_B,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,25496,27/02/2022,No,NA,1,962041,6701723
1663,45_20220613_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,45243,05/04/2022,No,NA,1,661029,6765807
1664,62_20220817_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,62534,20/06/2022,No,NA,1,637565,7068262
1665,56_20221122_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,56013,29/07/2022,Yes,GOLFE_DU_MORBIHAN_ET_BAIE_PLOUHARNEL,1,238188,6748624
1666,29_20221129_M,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,29175,17/08/2022,No,NA,1,194300,6814961
1667,29_20221130_B,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,29042,04/08/2022,Yes,RADE_DE_BREST,1,147475,6820760
1668,56_20221206_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,56143,02/09/2022,Yes,DPM_DE_MESQUER_AU_CROISIC_ET_BAIE_DE_VILAINE,1,289331,6731372
